"subj"	"block"	"bsl"	"speed"	"trialN"	"condi"	"setID"	"RTs"	"dprime"	"cyc"	"cond"	"tempo"	"response"	"RTadj"	"tone"
"46"	"10"	2	0.41126	1	40	"2"	10	0.9672	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.55594	22
"47"	"10"	2	0.41126	1	43	"2"	4	1.0364	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.62514	25
"48"	"10"	2	0.41126	1	44	"2"	12	0.8848	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.47354	19
"49"	"10"	2	0.41126	1	45	"2"	23	0.8119	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.40064	16
"50"	"10"	2	0.41126	1	47	"2"	17	0.7292	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.31794	13
"51"	"10"	2	0.41126	1	48	"2"	21	0.884	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.47274	19
"52"	"10"	2	0.41126	1	49	"2"	16	0.746	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.33474	13
"53"	"10"	2	0.41126	1	51	"2"	34	0.8054	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.39414	16
"54"	"10"	2	0.41126	1	53	"2"	26	0.8717	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.46044	18
"55"	"10"	2	0.41126	1	54	"2"	30	0.8474	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.43614	17
"56"	"10"	2	0.41126	1	55	"2"	27	0.7262	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.31494	13
"57"	"10"	2	0.41126	1	56	"2"	7	0.8932	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.48194	19
"58"	"10"	2	0.41126	1	57	"2"	6	1.0192	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.60794	24
"59"	"10"	2	0.41126	1	58	"2"	18	0.6857	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.27444	11
"60"	"10"	2	0.41126	1	60	"2"	2	0.9487	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.53744	21
"61"	"10"	2	0.41126	1	61	"2"	25	0.8738	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.46254	19
"62"	"10"	2	0.41126	1	62	"2"	5	0.7423	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.33104	13
"63"	"10"	2	0.41126	1	68	"2"	3	1.1085	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.69724	28
"64"	"10"	2	0.41126	1	69	"2"	1	0.8878	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.47654	19
"65"	"10"	2	0.41126	1	72	"2"	9	0.8306	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.41934	17
"66"	"10"	2	0.41126	1	78	"2"	29	0.9554	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.54414	22
"67"	"10"	2	0.41126	1	79	"2"	8	0.8376	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.42634	17
"68"	"10"	2	0.41126	1	80	"2"	11	0.9275	3.604818	"TEN"	"RANDREG"	"25ms"	"Hit"	0.51624	21
"70"	"11"	6	0.4447	1	7	"2"	28	1.0855	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.6408	26
"71"	"11"	6	0.4447	1	8	"2"	19	1.0583	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.6136	25
"72"	"11"	6	0.4447	1	9	"2"	1	1.0474	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.6027	24
"73"	"11"	6	0.4447	1	11	"2"	21	0.968	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.5233	21
"74"	"11"	6	0.4447	1	13	"2"	16	0.9414	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.4967	20
"75"	"11"	6	0.4447	1	16	"2"	8	1.0956	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.6509	26
"76"	"11"	6	0.4447	1	17	"2"	4	0.9704	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.5257	21
"77"	"11"	6	0.4447	1	18	"2"	13	1.129	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.6843	27
"78"	"11"	6	0.4447	1	22	"2"	24	0.9955	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.5508	22
"80"	"11"	6	0.4447	1	28	"2"	9	0.8613	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.4166	17
"81"	"11"	6	0.4447	1	31	"2"	11	1.0864	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.6417	26
"82"	"11"	6	0.4447	1	35	"2"	33	1.051	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.6063	24
"83"	"11"	6	0.4447	1	42	"2"	5	1.0243	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.5796	23
"84"	"11"	6	0.4447	1	43	"2"	15	1.025	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.5803	23
"85"	"11"	6	0.4447	1	47	"2"	34	1.0509	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.6062	24
"86"	"11"	6	0.4447	1	49	"2"	35	0.9759	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.5312	21
"87"	"11"	6	0.4447	1	50	"2"	30	0.978	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.5333	21
"88"	"11"	6	0.4447	1	51	"2"	6	1.1515	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.7068	28
"89"	"11"	6	0.4447	1	54	"2"	31	1.0228	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.5781	23
"90"	"11"	6	0.4447	1	56	"2"	12	0.9521	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.5074	20
"91"	"11"	6	0.4447	1	57	"2"	26	0.897	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.4523	18
"93"	"11"	6	0.4447	1	60	"2"	32	0.9429	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.4982	20
"95"	"11"	6	0.4447	1	67	"2"	17	1.0315	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.5868	23
