subj	 block	 speed	 trialN	 condi	 setID	 RTs	 response	 dprime	 correct
1	2	4	40	2	23	1.3952	1	3.888401 	1
1	2	4	41	1	12	NaN	2	3.888401 	1
1	2	4	42	1	6	NaN	2	3.888401 	1
1	2	4	43	2	2	1.2016	1	3.888401 	1
1	2	4	44	4	4	0.5449	1	3.888401 	1
1	2	4	45	2	22	1.2309	1	3.888401 	1
1	2	4	46	3	1	NaN	2	3.888401 	1
1	2	4	47	1	20	NaN	2	3.888401 	1
1	2	4	48	1	14	4.1060	-1	3.888401 	0
1	2	4	49	2	14	1.1867	1	3.888401 	1
1	2	4	50	2	16	1.5547	1	3.888401 	1
1	2	4	51	2	29	1.3847	1	3.888401 	1
1	2	4	52	1	3	NaN	2	3.888401 	1
1	2	4	53	1	32	NaN	2	3.888401 	1
1	2	4	54	2	13	1.1663	1	3.888401 	1
1	2	4	55	1	17	NaN	2	3.888401 	1
1	2	4	56	2	6	1.5766	1	3.888401 	1
1	2	4	57	2	34	1.1501	1	3.888401 	1
1	2	4	58	1	27	NaN	2	3.888401 	1
1	2	4	59	1	16	NaN	2	3.888401 	1
1	2	4	60	2	19	1.5837	1	3.888401 	1
1	2	4	61	1	34	NaN	2	3.888401 	1
1	2	4	62	2	4	1.2584	1	3.888401 	1
1	2	4	63	2	26	1.3592	1	3.888401 	1
1	2	4	64	2	7	1.1496	1	3.888401 	1
1	2	4	65	3	3	NaN	2	3.888401 	1
1	2	4	66	1	33	NaN	2	3.888401 	1
1	2	4	67	1	23	NaN	2	3.888401 	1
1	2	4	68	2	8	1.5051	1	3.888401 	1
1	2	4	69	1	9	NaN	2	3.888401 	1
1	2	4	70	2	35	1.6067	1	3.888401 	1
1	2	4	71	2	25	1.2499	1	3.888401 	1
1	2	4	72	1	7	NaN	2	3.888401 	1
1	2	4	73	2	18	1.2374	1	3.888401 	1
1	2	4	74	1	11	NaN	2	3.888401 	1
1	2	4	75	1	24	NaN	2	3.888401 	1
1	2	4	76	2	12	1.1506	1	3.888401 	1
1	2	4	77	1	13	NaN	2	3.888401 	1
1	2	4	78	1	8	NaN	2	3.888401 	1
1	2	4	79	4	2	0.2667	1	3.888401 	1
1	2	4	80	2	27	1.2525	1	3.888401 	1
1	3	3	1	2	22	2.4073	1	3.241516 	1
1	3	3	2	2	29	0.4355	1	3.241516 	1
1	3	3	3	2	30	1.7166	1	3.241516 	1
1	3	3	4	1	23	6.6303	-1	3.241516 	0
1	3	3	5	1	8	NaN	2	3.241516 	1
1	3	3	6	2	35	2.2737	1	3.241516 	1
1	3	3	7	1	29	NaN	2	3.241516 	1
1	3	3	8	4	3	0.4093	1	3.241516 	1
1	3	3	9	2	26	1.9969	1	3.241516 	1
1	3	3	10	2	19	1.7486	1	3.241516 	1
1	3	3	11	4	5	0.4088	1	3.241516 	1
1	3	3	12	2	20	1.7576	1	3.241516 	1
1	3	3	13	1	28	NaN	2	3.241516 	1
1	3	3	14	2	16	1.6018	1	3.241516 	1
1	3	3	15	2	11	1.7924	1	3.241516 	1
1	3	3	16	1	32	NaN	2	3.241516 	1
1	3	3	17	2	7	1.9928	1	3.241516 	1
1	3	3	18	1	20	NaN	2	3.241516 	1
1	3	3	19	2	13	1.9426	1	3.241516 	1
1	3	3	20	1	7	NaN	2	3.241516 	1
1	3	3	21	1	21	NaN	2	3.241516 	1
1	3	3	22	1	16	NaN	2	3.241516 	1
1	3	3	23	2	28	1.8102	1	3.241516 	1
1	3	3	24	1	30	NaN	2	3.241516 	1
1	3	3	25	1	19	NaN	2	3.241516 	1
1	3	3	26	2	23	2.2542	1	3.241516 	1
1	3	3	27	1	4	NaN	2	3.241516 	1
1	3	3	28	2	24	1.6603	1	3.241516 	1
1	3	3	29	3	1	NaN	2	3.241516 	1
1	3	3	30	1	33	NaN	2	3.241516 	1
1	3	3	31	1	15	NaN	2	3.241516 	1
1	3	3	32	2	10	1.5458	1	3.241516 	1
1	3	3	33	3	2	NaN	2	3.241516 	1
1	3	3	34	1	26	NaN	2	3.241516 	1
